Tomato,1.50,75,0,12345,15
Spinach,2.00,80,0,54321,17
Bell Pepper,1.75,55,0,98765,25
Broccoli,1.90,70,0,45678,12
Cucumber,1.20,85,0,87654,28
Onion,1.00,65,0,23456,14
Apple,1.80,80,1,12345,18
Banana,0.60,70,1,67890,25
Orange,2.20,60,1,54321,19
Grapes,1.50,55,1,98765,27
Pineapple,2.50,65,1,45678,14
Mango,1.90,75,1,87654,21
Bleach,3.50,90,2,23456,18
Window-Cleaner,2.00,80,2,78901,25
Disinfectant Spray,4.20,70,2,34567,19
Dish-Soap,1.80,75,2,65432,21
Cola,1.50,80,3,23456,18
Iced-Tea,1.80,60,3,34567,19
Orange-Juice,2.00,55,3,89012,27
Ginger-Ale,1.75,65,3,65432,21
Energy-Drink,2.50,85,3,67890,22
Chicken Breast,5.50,90,4,54321,19
Ground Beef,4.80,80,4,98765,27
Salmon Fillet,7.20,70,4,45678,14
Turkey Breast,6.30,65,4,87654,21
